"Supplemental Table S1. Coordinates, sizes, GC levels and GC standard deviations,",,,,,,,
"of the human isochores identified in this study.",,,,,,,
,,,,,,,
,,,,,,,
"Chr","Band","Start","End","Size (Mb)","GC, %","∆ GC","SD (w=100kb)"
1,"p36.33a",0.0,0.5,0.5,42.1,"-",1.83
1,"p36.33b",0.5,0.9,0.4,45.3,3.2,4.73
1,"p36.33c",0.9,3.7,2.8,58.0,12.7,3.27
1,"p36.32a",3.7,4.8,1.1,49.1,-8.9,2.23
1,"p36.32b",4.8,5.2,0.4,43.5,-5.6,2.00
1,"p36.31a",5.2,5.8,0.6,47.7,4.2,2.10
1,"p36.31b",5.8,6.6,0.8,54.3,6.5,2.70
1,"p36.31c",6.6,7.4,0.8,46.3,-8.0,2.57
1,"p36.31d",7.4,7.7,0.3,53.7,7.4,1.51
1,"p36.23a",7.7,8.1,0.4,43.5,-10.1,1.25
1,"p36.23b",8.1,8.5,0.4,46.6,3.1,2.60
1,"p36.23c",8.5,8.8,0.3,40.4,-6.2,0.54
1,"p36.22a",8.8,10.0,1.2,49.7,9.3,2.05
1,"p36.22b",10.0,10.6,0.6,44.3,-5.4,1.93
1,"p36.22c",10.6,10.9,0.3,54.7,10.4,2.55
1,"p36.22d",10.9,11.6,0.7,49.0,-5.7,2.68
1,"p36.22e",11.6,11.8,0.2,53.4,4.4,0.00
1,"p36.22f",11.8,12.2,0.4,51.5,-1.9,1.34
1,"p36.21a",12.2,12.5,0.3,42.8,-8.7,1.45
1,"p36.21b",12.5,12.7,0.2,48.6,5.8,0.00
1,"p36.21c",12.7,13.1,0.4,45.0,-3.6,1.14
1,"p36.21d",13.1,13.6,0.5,46.9,1.9,1.29
1,"p36.21e",13.6,14.7,1.1,43.3,-3.6,1.34
1,"p36.13a",14.7,16.0,1.3,48.3,5.0,2.85
1,"p36.13b",16.0,16.3,0.3,54.2,5.9,1.78
1,"p36.13c",16.3,17.6,1.3,48.9,-5.3,2.65
1,"p36.13d",17.6,17.8,0.2,53.8,4.9,0.00
1,"p36.13e",17.8,18.7,0.9,48.7,-5.1,1.29
1,"p36.13f",18.7,19.9,1.2,48.9,0.2,3.22
1,"p36.13g",19.9,20.2,0.3,44.2,-4.7,1.57
1,"p36.13h",20.2,20.9,0.7,48.4,4.2,2.60
1,"p36.12",20.9,21.2,0.3,38.6,-9.8,0.53
1,"p36.11a",21.2,24.5,3.3,48.2,9.6,3.62
1,"p36.11b",24.5,24.9,0.4,44.7,-3.5,1.47
1,"p36.11c",24.9,28.3,3.4,48.1,3.4,3.14
1,"p35.3",28.3,28.6,0.3,43.5,-4.6,0.00
1,"p35.2",28.6,33.5,4.9,47.4,4.0,2.90
1,"p35.1a",33.5,35.4,1.9,44.5,-2.9,1.65
1,"p35.1b",35.4,35.6,0.2,40.2,-4.3,0.00
1,"p35.1c",35.6,36.2,0.6,42.9,2.7,2.52
1,"p34.3a",36.2,38.4,2.2,48.3,5.4,1.84
1,"p34.3b",38.4,39.6,1.2,43.7,-4.6,1.67
1,"p34.3c",39.6,40.1,0.5,48.2,4.5,0.86
1,"p34.3d",40.1,40.7,0.6,42.6,-5.6,1.84
1,"p34.3e",40.7,42.1,1.4,46.6,4.0,4.63
1,"p34.2",42.1,43.0,0.9,41.8,-4.9,2.43
1,"p34.1a",43.0,45.0,2.0,47.3,5.6,3.16
1,"p34.1b",45.0,46.3,1.3,42.5,-4.8,2.20
1,"p34.1c",46.3,46.8,0.5,49.3,6.7,2.33
1,"p34.1d",46.8,47.3,0.5,41.3,-8.0,1.91
1,"p34.1e",47.3,47.6,0.3,44.8,3.5,1.60
1,"p34.1f",47.6,48.2,0.6,47.9,3.1,1.32
1,"p34.1g",48.2,48.7,0.5,40.7,-7.2,2.92
1,"p34.1h",48.7,49.0,0.3,43.8,3.1,1.47
1,"p33a",49.0,50.3,1.3,38.0,-5.8,1.38
1,"p33b",50.3,50.6,0.3,43.3,5.3,1.92
1,"p33c",50.6,51.3,0.7,38.7,-4.6,1.12
1,"p32.3a",51.3,51.8,0.5,41.9,3.3,2.82
1,"p32.3b",51.8,52.0,0.2,38.9,-3.0,0.00
1,"p32.3c",52.0,53.2,1.2,42.4,3.5,2.40
1,"p32.3d",53.2,53.9,0.7,49.3,6.9,1.54
1,"p32.3e",53.9,54.3,0.4,43.3,-6.0,1.14
1,"p32.3f",54.3,55.3,1.0,48.7,5.4,2.12
1,"p32.2a",55.3,55.8,0.5,41.5,-7.2,2.20
1,"p32.2b",55.8,56.5,0.7,39.5,-2.0,0.51
1,"p32.2c",56.5,56.8,0.3,42.3,2.8,1.57
1,"p32.2d",56.8,57.0,0.2,37.9,-4.4,0.00
1,"p32.2e",57.0,57.3,0.3,42.1,4.2,0.14
1,"p32.2f",57.3,58.2,0.9,40.4,-1.7,0.72
1,"p32.2g",58.2,59.4,1.2,41.8,1.4,1.01
1,"p32.2h",59.4,61.1,1.7,38.9,-2.8,1.37
1,"p32.1",61.1,65.4,4.3,40.6,1.7,2.30
1,"p31.3a",65.4,66.0,0.6,38.6,-2.0,1.28
1,"p31.3b",66.0,66.3,0.3,36.5,-2.2,0.50
1,"p31.3c",66.3,66.9,0.6,38.6,2.1,0.71
1,"p31.3d",66.9,67.1,0.2,36.6,-2.0,0.00
1,"p31.3e",67.1,67.5,0.4,38.9,2.4,1.34
1,"p31.2",67.5,68.0,0.5,42.2,3.2,1.26
1,"p31.1a",68.0,68.3,0.3,39.9,-2.3,0.46
1,"p31.1b",68.3,68.6,0.3,40.7,0.8,0.89
1,"p31.1c",68.6,68.9,0.3,36.5,-4.2,0.17
1,"p31.1d",68.9,69.3,0.4,38.0,1.5,0.15
1,"p31.1e",69.3,70.5,1.2,36.0,-2.0,0.81
1,"p31.1f",70.5,71.4,0.9,38.2,2.2,1.00
1,"p31.1g",71.4,74.6,3.2,35.2,-3.0,0.88
1,"p31.1h",74.6,78.7,4.1,38.2,3.0,1.22
1,"p31.1i",78.7,81.5,2.8,35.6,-2.6,0.82
1,"p31.1l",81.5,81.9,0.4,38.1,2.5,0.77
